CMC_id,CMC_rank,name,ticker,source_code,mod_source,type,forge,repo,notes,stars
1376,35,Neo,NEO,https://github.com/neo-project/neo,y,,github,neo-project/neo,,2961
2502,36,Huobi Token,HT,https://github.com/HuobiGroup/huobi-eco-chain,y,,github,HuobiGroup/huobi-eco-chain,,
2280,37,Filecoin,FIL,https://github.com/filecoin-project/lotus,y,,github,filecoin-project/lotus,,997
4030,38,Algorand,ALGO,https://github.com/algorand/go-algorand,y,,github,algorand/go-algorand,,400
4943,39,Dai,DAI,https://github.com/makerdao/dss,,SC,github,makerdao/dss,,228
5034,40,Kusama,KSM,https://github.com/kusamanetwork/KSM-dapp,y,,github,kusamanetwork/KSM-dapp,runs on polkadot,8
6892,41,Elrond,EGLD,https://github.com/ElrondNetwork/elrond-go,y,,github,ElrondNetwork/elrond-go,,430
2586,42,Synthetix,SNX,https://github.com/Synthetixio/synthetix,y,,github,Synthetixio/synthetix,,238
131,43,Dash,DASH,https://github.com/dashpay/dash,,,github,dashpay/dash,,1389
6719,44,The Graph,GRT,https://github.com/graphprotocol/graph-node,y,,github,graphprotocol/graph-node,,595
6535,45,NEAR Protocol,NEAR,https://github.com/nearprotocol/nearcore,,,github,nearprotocol/nearcore,,745
1168,46,Decred,DCR,https://github.com/decred/dcrd,y,,github,decred/dcrd,,636
3890,47,Polygon,MATIC,https://github.com/maticnetwork/bor,y,,github,maticnetwork/bor,2nd layer plasma scaling on ethereum; now polygon,17
3822,48,Theta Fuel,TFUEL,https://github.com/thetatoken/theta-protocol-ledger,y,,github,thetatoken/theta-protocol-ledger,,138
1518,49,Maker,MKR,https://github.com/makerdao/market-maker-keeper,y,,github,makerdao/market-maker-keeper,see also: DAI,315
5692,50,Compound,COMP,https://github.com/compound-finance/compound-protocol,,,github,compound-finance/compound-protocol,,453
3957,51,UNUS SED LEO,LEO,private,y,,private,,runs on bitfinex,
4642,52,Hedera Hashgraph,HBAR,https://github.com/hashgraph/hedera-sdk-java,y,,github,hashgraph/hedera-sdk-java,,132
2469,53,Zilliqa,ZIL,https://github.com/Zilliqa/Zilliqa,,,github,Zilliqa/Zilliqa,,998
2130,54,Enjin Coin,ENJ,https://github.com/enjin/enjin-java-sdk,y,,github,enjin/enjin-java-sdk,,9
1437,55,Zcash,ZEC,https://github.com/zcash/zcash,,,github,zcash/zcash,,4304
2577,56,Ravencoin,RVN,https://github.com/RavenProject/Ravencoin,,,github,RavenProject/Ravencoin,,728
7186,57,PancakeSwap,CAKE,https://github.com/pancakeswap/pancake-frontend,y,,github,pancakeswap/pancake-frontend,,
4157,58,THORChain,RUNE,https://gitlab.com/thorchain/thornode,y,,gitlab,thorchain/thornode,,
4023,59,Bitcoin BEP2,BTCB,private,y,wToken,private,,binance-wrapped BTC,
1321,60,Ethereum Classic,ETC,https://github.com/input-output-hk/mantis,y,,github,input-output-hk/mantis,mantis by IOHK is the client written in scala,57
1321,60,Ethereum Classic,ETC,https://github.com/etclabscore/core-geth,y,,github,etclabscore/core-geth,,57
